ID,label,split_1,split_2,split_3
DTXSID7047277,1,train,train,test
DTXSID1048590,0,train,train,train
DTXSID4021979,0,train,test,train
DTXSID9049376,0,train,test,train
DTXSID5046772,0,train,train,train
DTXSID7045570,0,train,train,train
DTXSID9021716,1,train,train,train
DTXSID0022858,0,train,train,train
DTXSID3045221,0,train,train,train
DTXSID4021688,0,train,test,train
DTXSID1051856,0,train,train,train
DTXSID5057751,0,train,test,test
DTXSID4027288,0,train,train,train
DTXSID9021689,0,train,train,train
DTXSID4057637,0,train,train,train
DTXSID7045651,0,train,train,train
DTXSID3047344,0,train,train,test
DTXSID4023672,1,train,train,train
DTXSID4044458,0,train,train,test
DTXSID0024478,1,train,train,train
DTXSID6048597,1,train,train,train
DTXSID7029611,0,train,train,train
DTXSID7021029,0,train,train,train
DTXSID3021065,0,train,test,train
DTXSID2045365,0,train,train,train
DTXSID7020421,0,train,train,train
DTXSID2027543,0,train,train,train
DTXSID1046558,0,train,test,train
DTXSID5040679,1,train,train,test
DTXSID0044498,0,train,train,train
DTXSID7046091,1,train,train,train
DTXSID7047304,1,train,train,train
DTXSID4045680,0,train,train,train
DTXSID8027795,1,train,train,train
DTXSID2022048,1,train,train,train
DTXSID9020081,0,train,train,train
DTXSID6041422,0,train,test,train
DTXSID2049341,0,train,train,test
DTXSID3027823,0,train,train,test
DTXSID2024666,0,train,test,train
DTXSID2032639,0,train,test,train
DTXSID1026118,0,train,train,test
DTXSID3032670,0,train,test,train
DTXSID8030760,0,train,test,train
DTXSID1044560,1,train,test,train
DTXSID9022734,0,train,train,train
DTXSID0027195,0,train,test,train
DTXSID3041794,1,train,train,test
DTXSID2048872,0,train,train,train
DTXSID3057690,0,train,train,train
DTXSID0022646,0,train,test,train
DTXSID0038756,0,train,test,test
DTXSID6048967,1,train,train,train
DTXSID1041502,1,train,train,test
DTXSID6047440,0,train,test,train
DTXSID0042038,0,train,train,train
DTXSID0027515,0,train,train,train
DTXSID3032759,0,train,train,test
DTXSID8044599,0,train,train,test
DTXSID1057793,0,train,train,train
DTXSID9047673,1,train,train,train
DTXSID1027007,0,train,train,train
DTXSID1045083,0,train,train,train
DTXSID5037527,0,train,train,test
DTXSID8048947,1,train,train,train
DTXSID9025085,0,train,train,train
DTXSID0027309,0,train,train,train
DTXSID4041361,0,train,train,train
DTXSID4047206,1,train,train,test
DTXSID8023347,0,train,train,train
DTXSID7037680,0,train,test,train
DTXSID9044370,0,train,train,test
DTXSID3044463,0,train,train,train
DTXSID5021962,0,train,train,train
DTXSID2023642,0,train,train,train
DTXSID1025770,0,train,train,train
DTXSID9044615,0,train,train,train
DTXSID2032392,0,train,train,train
DTXSID2044769,0,train,train,train
DTXSID4042256,1,train,test,train
DTXSID9025825,1,train,train,test
DTXSID4025404,0,train,train,train
DTXSID3042180,1,train,test,train
DTXSID8032671,0,train,train,train
DTXSID5051999,1,train,train,train
DTXSID4022658,0,train,train,train
DTXSID8029157,0,train,train,test
DTXSID1022053,1,train,test,train
DTXSID0047662,1,train,train,test
DTXSID9034286,0,train,train,train
DTXSID1044647,0,train,train,train
DTXSID4020375,1,train,test,train
DTXSID9026059,0,train,train,train
DTXSID6020193,1,train,train,test
DTXSID6044486,0,train,train,train
DTXSID1022683,0,train,train,train
DTXSID9029279,0,train,test,train
DTXSID7044423,0,train,train,train
DTXSID3044962,0,train,train,train
DTXSID7022912,0,train,train,test
DTXSID1041920,0,train,train,train
DTXSID7026441,0,train,test,train
DTXSID0057839,0,train,test,train
DTXSID9046233,0,train,train,test
DTXSID2047511,0,train,train,train
DTXSID6022557,1,train,test,train
DTXSID7023938,0,train,train,train
DTXSID3023265,0,train,test,train
DTXSID0045838,0,train,train,test
DTXSID4022785,0,train,train,test
DTXSID2027333,0,train,test,train
DTXSID3027039,0,train,train,test
DTXSID6047490,0,train,train,train
DTXSID0025604,0,train,train,train
DTXSID4025791,0,train,test,train
DTXSID1020308,0,train,train,train
DTXSID3042263,0,train,train,train
DTXSID4057631,0,train,train,train
